time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,delta_thrust,roll_torque,pitch_torque,yaw_torque,f0,f1,f2,f3,target_x,target_y,target_z
0.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-1.1872448032321933e-15,-0.015,0.015,-0.0,1.1599153846153845,1.2752999999999999,1.3906846153846153,1.2752999999999999,2.0,2.0,3.0
0.05,-8.5431439264366e-06,-1.0551031355192681e-05,3.0001273767810415,-0.000170862878528732,-0.00021102062710385362,0.002547535620829322,-0.006543490422257462,0.00594049562073969,-0.00012502844233893093,-0.1308698084451493,0.11880991241479386,-0.0025005688467786193,-0.008193296062485141,-0.01479854318377379,0.015,0.00011665037539494323,1.158612731914477,1.2740556724867897,1.3878322948665833,1.2725060046696652,2.0,2.0,3.0
0.1,4.826788470190768e-05,4.940283942564691e-05,3.0001190851725927,0.0011362205725668857,0.0011990774156167918,-0.00016583216897458897,-0.026693242027612543,0.022581838601192786,0.00014303954603794055,-0.40298968854504214,0.33280059583234956,0.0029670527280177455,-6.063651153039567e-05,-0.004877391079117875,0.007332616865515749,-0.000137816643274878,1.2283577260151146,1.284693562812829,1.3222808640507582,1.2658072106097684,2.0,2.0,3.0
0.15000000000000002,0.0004644051818070003,0.0005299788611394454,3.0000744923696456,0.008322745942101853,0.00961152043427597,-0.0008918560589421531,-0.05509484588230301,0.04690491063849646,0.0011276213916295503,-0.5675056223217572,0.48672459303869253,0.006863749367699156,0.002312404780135134,0.0026972409358398124,0.00046120731279226793,-0.00040803586513552854,1.2845802394807315,1.287923970108104,1.2673799808419044,1.263628214349396,2.0,2.0,3.0
0.2,0.0017590301338587951,0.0020465806656629303,2.999994934810079,0.025892499041035896,0.0303320360904697,-0.001591151191329132,-0.08418773616777313,0.07371804117647575,0.002892893201586065,-0.5798806836313726,0.5373126387841174,0.008018831645535641,0.004768802241117849,0.005953888505665279,-0.0036834787609276404,-0.0006531369650384624,1.3137222819807426,1.2850612614910877,1.2395886876223354,1.2675965711469521,2.0,2.0,3.0
0.25,0.004567699793661607,0.005308398925513795,2.9998211044752816,0.05617339319605623,0.06523636519701728,-0.00347660669595129,-0.1094324289892084,0.09917636765531153,0.005098804040490036,-0.5010992302915281,0.5110853360404554,0.006923361844487821,0.011203357455522915,0.006290581935389598,-0.0055500685341452515,-0.0008551974409732961,1.3238556020684888,1.280735168469962,1.2327736753797596,1.275038911537313,2.0,2.0,3.0
0.3,0.00953328852509235,0.010973357245698392,2.999471614918648,0.09931177462861487,0.11329916640369195,-0.006989791132667733,-0.12935795585554427,0.12123050331992337,0.0073280909667345125,-0.3934256764222187,0.4434846474464635,0.005115526648313238,0.023312966458191024,0.0054058377652849736,-0.006000714785841931,-0.001030632908595162,1.3252572558075693,1.2785825948467953,1.2375145438758237,1.2831585719280028,2.0,2.0,3.0
0.35,0.017238572600082016,0.019582632211523888,2.9988754741421806,0.1541056814997933,0.17218549931650992,-0.011922815529352704,-0.14421290307972628,0.1391257784567656,0.009301244525161838,-0.29164266216607065,0.36031658827007906,0.003521394617450656,0.040809014515027095,0.00433604173638896,-0.0057227022933350295,-0.0011861577509042357,1.3244862701038829,1.2798724043566228,1.247111316029083,1.2905390240254386,2.0,2.0,3.0
0.39999999999999997,0.028176011492128384,0.031552593000975085,2.997992241832279,0.21874877784092736,0.23939921578902396,-0.0176646461980301,-0.1548216496362637,0.1528434837958203,0.010892674764999196,-0.20715876536758493,0.2764471051583289,0.0023949639524922725,0.06205824258356156,0.0034790147844289826,-0.005143448913088701,-0.001318134420952679,1.3243074161646584,1.2840833573150379,1.257980772337599,1.2968866967662667,2.0,2.0,3.0
0.44999999999999996,0.042740170139738534,0.047191304706681377,2.99681782266582,0.291283172952203,0.31277423411412586,-0.023488383329182128,-0.16199321369540678,0.1627107642661736,0.012069327082239852,-0.13938483873550764,0.19895291632568668,0.0016895612150588223,0.08491263411660113,0.002878652550560316,-0.004490618131404319,-0.0014209453287219345,1.3252267436381178,1.2899730545783392,1.2685400460845437,1.3023727898156008,2.0,2.0,3.0
0.49999999999999994,0.06123120736644697,0.06671878070267859,2.995380408097586,0.3698207445341688,0.39054951991994424,-0.028748291364681933,-0.16634224180694976,0.16917599640968153,0.012838669874276074,-0.08417339955745004,0.13036022878712308,0.001293386681092229,0.10731592938373632,0.002458071344110536,-0.0038685326288415314,-0.0014908374172851694,1.3268347839039172,1.2963314218964936,1.2781685994965937,1.307181124086732,2.0,2.0,3.0
0.5499999999999999,0.0838627452519994,0.09028295541366979,2.993732118667819,0.45263075771104844,0.4712834942198241,-0.032965788595333834,-0.1683052900771006,0.1726962644269661,0.013224730557461808,-0.03777004038035402,0.07090249898710108,0.0011096680689867758,0.1275989246744825,0.0021372117666925592,-0.003315077623967056,-0.0015265288785431524,1.3285517071984856,1.3022878456517755,1.2866110195780274,1.3113483522461946,2.0,2.0,3.0
0.6,0.11077088624071965,0.11797055296902406,2.9919399774192934,0.538162819774405,0.5537519511070854,-0.03584282497051561,-0.16820672910585002,0.17368962812527766,0.013261209176213623,0.002204123307788948,0.01983987722886696,0.0010681762693288042,0.1445613094950867,0.0018672745403763799,-0.0028364556829894197,-0.0015289107017670567,1.329913825139082,1.307330479919049,1.293731284959345,1.3147857194776111,2.0,2.0,3.0
