time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,delta_thrust,roll_torque,pitch_torque,yaw_torque,f0,f1,f2,f3,target_x,target_y,target_z,distance
0.0,0.0,4.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.853525,8.853525,8.853525,8.853525,0.0,4.0,1.0,0.0
0.05,-3.961917552818423e-12,4.000000000000138,0.9999999267165233,-7.923835105636846e-11,2.7533531010703882e-12,-1.4656695346282334e-06,6.245834405227409e-10,1.7879137781395826e-08,4.9927644536715663e-17,1.2491668810454817e-08,3.575827556279165e-07,9.985528907343132e-16,0.12362768627873406,0.0030621773847948194,0.03918425391798405,-7.985363465799544e-17,8.745500857980494,9.04691819581114,9.02336298515887,8.721945647328225,0.17948996985214075,3.9859732836291557,1.005,0.18010663170448984
0.1,-3.45470005090035e-08,4.000000002709599,1.0000470128731072,-6.908607718290136e-07,5.418922199851295e-08,0.0009417231316777297,1.2265893720749527e-05,0.00015699407608206405,-9.627391279684928e-10,0.00024530538274549163,0.0031395239388856797,-1.9250397709132183e-08,0.1306660931831331,0.007543788506864594,0.0738944443404876,1.539484074689667e-09,8.630996692781592,9.199415496170468,9.14138635304023,8.572967551190837,0.3577211122550178,3.963941592131968,1.01,0.3596716416337048
0.15000000000000002,1.962531784739376e-06,3.9999998482691037,1.0001823936388659,3.994157570496759e-05,-3.088809901186096e-06,0.002707615315173939,6.477613914914237e-05,0.0007383107521351526,-2.4268919156632814e-08,0.0010502047885873065,0.011626333526401682,-3.012476209238609e-07,0.1362419200880986,0.012958371254077759,0.1004903753367849,2.585881009817848e-08,8.550923919393064,9.323926819528506,9.224247027721578,8.451244153444947,0.5343386383265053,3.9339894831125792,1.015,0.5386024627364078
0.2,1.5552975515863045e-05,3.9999986978284023,1.0004103824988926,0.00027180887462247336,-2.3008814027392077e-05,0.004559777200534576,0.00019389522569505634,0.0019641533287939918,-1.9621662356694927e-07,0.002582378094896159,0.024516851718937412,-1.532352275509058e-06,0.14154232452451393,0.018949264922093825,0.11909584233191828,1.4551171685963337e-07,8.503731400869258,9.419853337716797,9.274089688637138,8.35796789730132,0.708992797625687,3.896217137920189,1.02,0.7168005989970785
0.25,6.374412266741428e-05,3.9999942301269162,1.0007347110290945,0.0009638229430310246,-8.935402972198858e-05,0.006486570604038455,0.0004413482463243364,0.003996086067088751,-9.208120065702328e-07,0.004949023140261665,0.04063865693967859,-4.77117247735472e-06,0.14657929208686904,0.025199953252176065,0.13027693270788523,5.12582910787702e-07,8.486027466200186,9.488157974090756,9.294311923551794,8.292181928244132,0.8813395615610423,3.8507400807741767,1.025,0.8941547247258314
0.3,0.0001876218610970394,3.999981672295033,1.0011588491799392,0.002477554768592502,-0.000251156637665062,0.008482763016894879,0.0008517890263171709,0.006939732991971838,-3.1230673277562488e-06,0.008208599285934568,0.05887295278798423,-1.1241840643946021e-05,0.15135484628433202,0.0314285167511429,0.13471574817081777,1.3908701668230537e-06,8.494104781470176,9.530380462834627,9.288621946236907,8.252347655742623,1.0510412917985839,3.797688868207939,1.03,1.070536139598813
0.35,0.0004495773597824588,3.999952731302485,1.0016858979343748,0.005239109973708389,-0.0005788198509559805,0.01054097508871088,0.0014706447299955073,0.010849371588747686,-8.521788678346255e-06,0.012376236018870489,0.07819283716409378,-2.208013318213275e-05,0.15587511352301472,0.03738873409175283,0.13315797743497362,3.1904120261048214e-06,8.524149737149976,9.54844346647117,9.26083622440552,8.236545685496349,1.217767392390671,3.7372087496086017,1.035,1.2457956863404094
0.39999999999999997,0.0009352180334300148,3.9998944825004368,1.0023184076294602,0.009712813472951118,-0.001164976040968213,0.01265019390170874,0.002342227026854702,0.015733159375627997,-1.9882263858823646e-05,0.017428864014787708,0.09767598667326025,-3.808661031474948e-05,0.16015305092112647,0.04287087184572329,0.1263871492371887,6.498649046749864e-06,8.572345186562382,9.544557276172975,9.214778089573654,8.24257249861211,1.3811949443855902,3.6694592996844717,1.04,1.4197620309882708
0.44999999999999996,0.00175408269225852,3.999788265352758,1.0030581239494918,0.016377293176570103,-0.0021243429535733327,0.014794326400631164,0.0035081179954876743,0.021558717598223955,-4.120163949010533e-05,0.02331047981779582,0.11651184174615047,-5.952705963195565e-05,0.16421123463943077,0.04770162724460063,0.11520330460273928,1.2101985763931347e-05,8.634952947170575,9.521138264338376,9.154196619156256,8.268023403974222,1.5410093217196612,3.5946140237447897,1.045,1.5922411808210886
0.49999999999999994,0.0030392927471886615,3.999608630145366,1.0039056728624638,0.02570420109860283,-0.0035927041478434063,0.01695097825944014,0.005005831258605874,0.028258901494305128,-7.778977749688106e-05,0.029937456644587176,0.13400539488073882,-8.600541017058347e-05,0.16808438898170946,0.051743289554690826,0.10040420786334263,2.0992377632553407e-05,8.708383471040818,9.480734027716888,9.082698227261218,8.310368662962784,1.6969047872375225,3.5128599367270255,1.05,1.7630170988858012
0.5499999999999999,0.0049462781815195825,3.9993223730079754,1.004860207200695,0.03813970868661842,-0.005725142747809997,0.019090686764622333,0.006867739082094566,0.035737611566715344,-0.00013622272877746678,0.0372037841472296,0.1495780748960133,-0.00011642004430483381,0.1718212464849632,0.054892254208996474,0.0827690035101453,3.435532089523507e-05,8.789253456248135,9.425955276294316,9.003689989333898,8.36702252460861,1.848585067732277,3.4243971169554785,1.055,1.9318532644083424
